step	train/loss
0	0.38965481519699097
1	0.3229645788669586
2	0.29770615696907043
3	0.2773674726486206
4	0.2547401487827301
5	0.22595034539699554
6	0.2028142660856247
7	0.19188052415847778
8	0.1783737689256668
9	0.1600971817970276
10	0.15062256157398224
11	0.1399800330400467
12	0.1262093484401703
13	0.11624155938625336
14	0.1133912056684494
15	0.10672295093536377
16	0.1014544889330864
17	0.09249910712242126
18	0.08559058606624603
19	0.07692170143127441
20	0.06999494880437851
21	0.06354384869337082
22	0.056656450033187866
23	0.052371345460414886
24	0.04912513867020607
25	0.04596159979701042
26	0.04412790387868881
27	0.04389789700508118
28	0.04135121405124664
29	0.03965591639280319
30	0.04025794565677643
