step	dice
0	0.0
1	0.0
2	0.0
3	0.0
4	0.5760895019861346
5	0.7132544193268094
6	0.8209837638912592
7	0.8163913632071715
8	0.7893122870973526
9	0.8161409481715624
10	0.7689156931188144
11	0.857442935604152
12	0.8745090288861246
13	0.8318978286391415
14	0.8820608662709938
15	0.8618554842244139
16	0.8830811960276692
17	0.8876780310606172
18	0.8686398403724642
19	0.8852967159527223
20	0.8858192948563545
21	0.8783665079976807
22	0.8907937052580809
23	0.8945273631840795
24	0.8987017816859711
25	0.9016149596260093
26	0.8959123118175628
27	0.899258789355948
28	0.9014374089346738
29	0.9023337293820489
30	0.901144617006209
